sex,age,exp,q28,q29,q30,q31,q32,q40_1,q40_2,q40_3,q40_4,q40_5,q16_part
1,21,3,1,1,1,0,5,0,0,1,1,1,5
1,44,4,0,1,1,1,4,0,1,1,1,1,5
2,82,2,0,0,0,0,4,1,0,1,1,0,1
1,42,1,1,1,0,0,5,1,1,1,1,1,5
2,26,3,0,1,0,0,6,1,1,1,1,1,1
2,45,4,1,1,0,0,4,0,0,1,1,1,5
2,27,4,1,1,1,0,6,0,0,1,1,1,5
2,47,1,1,1,0,0,6,0,1,1,1,1,1
1,77,2,1,1,1,0,5,0,1,1,1,1,3
1,75,3,1,1,1,0,2,0,0,1,1,1,1
1,56,4,1,0,1,1,7,0,0,0,1,1,5
2,51,1,1,0,0,0,2,0,1,1,1,1,1
2,37,2,0,1,0,0,4,0,0,0,1,1,1
2,24,3,0,1,0,0,4,0,0,1,1,1,5
2,89,3,1,0,1,0,4,0,0,0,1,0,1
1,85,4,0,1,0,0,5,0,0,1,1,1,5
1,64,1,1,1,0,1,6,0,0,1,1,1,1
2,70,2,0,0,0,0,6,0,0,1,1,1,3
2,78,4,1,1,1,0,4,0,0,1,1,0,1
2,34,2,1,1,0,1,6,0,1,1,1,1,3
2,37,1,0,1,1,1,6,0,0,1,0,0,3
2,22,4,0,0,1,0,6,0,1,1,1,1,4
2,79,1,0,1,0,0,6,1,0,1,1,1,3
1,34,2,0,1,1,0,5,0,1,1,1,0,1
2,50,2,1,1,1,0,5,0,1,1,1,1,1
2,36,3,0,1,0,0,4,0,0,1,1,1,5
2,44,4,0,1,1,0,6,0,0,1,1,1,1
1,58,1,1,1,1,0,5,0,1,1,1,1,5
2,65,2,1,1,0,0,5,0,0,1,1,0,1
1,73,1,1,1,0,0,4,0,0,1,1,0,5
2,26,2,1,1,1,1,6,0,0,1,1,1,5
2,60,2,0,1,0,0,5,0,0,1,1,1,2
1,36,3,1,1,0,0,4,0,0,1,1,1,5
2,67,4,1,0,1,0,4,0,0,1,1,0,5
2,78,4,0,1,1,0,4,0,1,1,1,0,5
2,38,2,1,1,0,0,4,0,0,1,1,1,5
2,79,1,1,0,0,0,5,0,0,1,1,1,5
2,48,3,1,1,0,1,7,0,1,1,1,1,5
2,66,2,1,1,0,0,5,0,0,0,1,0,5
2,36,3,1,1,0,1,6,0,0,1,1,1,5
2,39,4,1,0,0,0,4,0,0,0,1,1,5
2,85,1,1,0,0,0,3,1,0,0,1,1,1
2,22,4,1,0,0,1,5,0,0,1,1,1,5
1,59,2,1,1,1,1,6,0,0,1,1,0,5
1,28,3,0,1,1,0,6,0,0,1,1,1,3
1,25,2,1,1,0,0,4,0,1,1,1,1,3
2,60,3,0,1,0,0,4,0,1,0,0,0,1
2,63,1,0,1,0,0,6,1,0,1,1,1,5
2,69,2,1,1,1,0,6,0,0,1,1,0,1
2,65,1,1,1,1,1,6,0,1,1,1,1,1
2,82,3,1,1,0,0,5,0,0,1,1,1,5
2,30,2,0,1,1,1,6,0,1,1,1,1,1
2,18,3,1,1,1,0,4,0,1,1,1,1,5
1,85,4,1,1,1,0,1,0,0,1,1,0,3
2,59,4,0,1,1,1,6,0,1,1,1,1,1
1,35,2,1,1,1,0,4,0,0,1,1,1,5
2,37,1,1,0,0,0,5,0,0,1,1,0,5
2,26,2,1,1,1,0,6,0,0,1,1,1,1
2,79,3,1,1,1,1,4,0,0,1,0,0,5
1,43,4,1,1,1,0,6,0,1,1,1,1,1
1,71,1,1,1,1,1,6,0,1,0,1,1,5
1,47,4,1,1,1,0,5,0,1,1,1,1,5
1,28,1,1,1,1,1,6,0,0,1,1,1,5
2,63,2,1,1,0,0,6,1,0,1,1,1,1
1,21,3,1,1,1,1,4,0,0,1,1,1,5
2,63,1,1,1,0,1,5,0,0,1,1,1,1
2,66,4,1,1,1,0,4,0,0,1,1,1,5
1,33,1,0,1,1,0,6,0,1,1,1,0,1
1,21,2,1,1,0,1,5,0,0,1,1,1,5
2,59,2,1,0,0,0,5,0,0,0,1,0,3
2,34,3,1,1,1,1,5,0,0,1,1,1,1
2,59,4,1,1,0,0,4,0,0,1,1,1,1
1,44,1,1,1,1,1,6,0,1,1,1,1,5
1,37,2,1,1,1,1,6,0,1,1,1,1,1
2,79,3,1,1,0,0,5,0,1,1,1,1,5
2,20,4,1,1,0,0,4,0,1,1,1,1,5
2,77,2,1,0,1,0,1,0,0,0,0,0,1
1,90,3,1,1,1,1,4,0,0,1,1,0,1
2,35,4,0,1,0,0,4,0,0,1,1,0,5
2,40,1,1,1,0,0,6,0,0,0,1,0,5
2,71,2,0,0,0,0,4,0,0,1,1,0,1
2,27,3,0,1,0,0,6,0,0,1,1,1,3
2,37,4,1,1,0,0,6,0,0,1,1,1,5
2,18,1,1,1,0,1,4,0,0,1,1,1,5
1,60,2,1,1,1,1,5,0,0,1,1,1,1
1,26,2,1,1,1,0,6,0,1,1,1,1,5
2,21,3,0,0,0,0,6,1,0,0,1,1,5
2,42,4,1,1,0,0,6,0,0,1,1,1,3
1,23,1,1,1,0,1,6,0,0,1,1,1,5
2,81,3,1,1,0,0,6,0,0,1,0,1,3
2,55,2,1,1,1,0,6,0,1,1,1,1,5
1,50,4,1,1,1,1,6,1,1,1,1,1,5
1,32,4,1,1,1,1,6,0,1,1,1,1,5
2,49,1,1,1,0,0,6,0,0,1,1,1,3
1,61,2,1,1,1,1,5,0,0,1,1,0,
1,75,3,1,1,0,0,2,0,0,0,1,0,5
2,36,4,1,1,1,0,5,0,0,1,1,1,5
2,78,3,1,0,0,0,2,0,0,1,1,0,5
2,36,4,1,1,0,0,5,0,1,1,1,1,2
2,81,1,1,0,0,0,5,0,0,0,0,0,2
2,19,2,1,0,0,0,4,0,0,1,1,0,5
1,62,3,1,1,0,1,6,0,0,1,1,1,5
1,73,1,1,1,0,0,6,0,0,1,1,0,3
1,52,2,1,1,1,0,4,0,0,1,1,0,5
2,77,3,0,1,0,0,6,0,0,1,1,0,5
2,58,4,0,1,0,0,5,0,0,1,1,0,5
1,40,3,1,1,0,0,6,0,0,1,1,1,5
2,46,2,1,1,0,0,6,0,1,1,1,1,5
2,68,4,1,1,1,1,6,0,1,1,1,1,5
2,62,1,1,1,1,0,6,0,0,1,1,1,1
2,65,2,1,1,0,0,5,0,1,1,1,1,3
2,46,3,1,1,0,0,5,0,0,0,0,0,5
2,20,4,1,1,0,0,4,1,0,1,1,1,5
1,81,1,0,1,1,0,4,0,0,0,1,0,1
2,60,2,1,1,0,0,6,1,0,1,1,1,5
2,42,2,1,1,1,0,7,0,0,0,1,0,5
2,34,3,0,0,0,0,4,0,0,0,1,0,5
1,35,4,1,1,1,0,6,1,1,1,1,1,5
2,52,1,0,1,0,0,6,0,1,1,1,1,5
2,65,2,0,1,0,0,4,0,0,0,1,1,3
2,39,3,1,0,0,0,4,0,0,1,1,0,1
2,26,3,1,1,1,0,7,0,0,1,1,1,5
2,58,4,1,1,1,1,6,0,1,1,1,1,5
2,64,1,1,1,1,0,6,0,0,1,1,0,5
2,18,4,0,0,0,0,4,1,1,1,1,1,5
1,35,1,1,1,0,1,4,0,0,0,0,1,
2,72,2,0,1,0,0,4,0,0,0,1,0,5
1,19,3,1,1,1,0,4,0,0,0,1,1,1
2,57,4,1,1,1,0,6,0,0,1,1,1,5
1,53,1,1,1,1,0,4,0,1,1,1,1,
2,63,2,0,0,0,0,5,0,0,1,1,1,1
1,31,3,0,1,0,0,6,0,0,1,1,1,5
2,72,4,1,1,1,0,4,0,0,0,1,1,3
1,64,3,1,1,1,0,6,0,1,1,1,1,3
2,79,1,1,1,0,0,5,0,0,0,0,0,3
1,65,2,0,0,0,0,5,1,0,1,1,0,1
2,55,3,1,1,1,0,6,0,1,1,1,1,5
2,29,4,1,1,0,0,6,0,1,1,1,1,5
1,32,4,1,1,1,1,6,0,1,1,1,1,5
2,71,1,1,0,0,0,4,0,0,1,0,0,3
2,60,3,1,1,0,0,6,0,1,1,1,1,5
1,33,1,1,1,1,0,3,0,0,1,1,1,5
