code	consfirstaug	country	indcent	rel_catho80	rel_muslim80	rel_protmg80	growth	democ
AFG	0	Afghanistan	19.19	0	0.993	0	-0.0848947	0.15
AGO	0.3333333	Angola	19.75	0.687	0	0.198	0.6444693	0.35
ALB	0.6666667	Albania	19.12				1.675993	0.75
ARE	0.3333333	United Arab Emirates	19.71	0.004	0.949	0.003	3.372619	0.1
ARG	0	Argentina	18.16	0.916	0.002	0.027	2.713703	0.9
AUS	1	Australia	19.01	0.296	0.002	0.235	3.986219	1
AUT	0	Austria	18	0.888	0.006	0.065	3.347301	1
BDI	0.1481481	Burundi	19.62	0.7830001	0.009	0.049	0.3280602	0.45
BEL	0.6666667	Belgium	18.3	0.9	0.011	0.004	3.165714	0.95
BEN	0.125	Benin	19.6	0.185	0.152	0.028	1.161583	0.8
BFA	0.2	Burkina Faso	19.6	0.09	0.43	0.016	0.722393	0.35
BGD	0.3148148	Bangladesh	19.71	0.002	0.859	0.002	0.4302096	0.8
BGR	0.1851852	Bulgaria	18.78	0.005	0.106	0.004	2.38107	0.9
BHR	0.0666667	Bahrain	19.71	0.008	0.95	0.009	2.188017	0.05
BOL	0.3333333	Bolivia	18.25	0.925	0	0.023	1.51428	0.95
BRA	0	Brazil	18.22	0.878	0.001	0.04	2.631244	0.9
BTN	0	Bhutan	19.07	0	0.05	0	1.543368	0.1
BWA	0.6666667	Botswana	19.66	0.094	0	0.268	2.351604	0.95
CAF	0	Central African Republic	19.6	0.331	0.032	0.5	0.4462757	0.75
CAN	1	Canada	18.67	0.466	0.006	0.296	4.016289	1
CHE	1	Switzerland	18	0.528	0.003	0.432	3.550565	0.9
CHL	0	Chile	18.1	0.821	0	0.019	2.855033	0.95
CHN	0	China	18	0	0.024	0	1.742018	0.15
CIV	0	Cote d'Ivoire	19.6	0.185	0.24	0.047	1.164257	0.7
CMR	0.3333333	Cameroon	19.6	0.35	0.22	0.181	0.9904609	0.3
COG	0.3833333	Congo, Rep.	19.6	0.539	0.004	0.249	1.676822	0.2
COL	0.3333333	Colombia	18.1	0.966	0.002	0.009	2.196941	0.85
COM	0.3166667	Comoros	19.75	0.001	0.997	0.001	0.3387346	0.45
CRI	0.3333333	Costa Rica	18.21	0.905	0	0.058	2.388829	1
