who,id,age,gender,q3_1,q3_2,q3_3,q3_4,q4_1,q4_2,q4_3,q4_4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,exp,q6
3,30025,20,1,0,100,100,0,2,1,1,2,9,3,5,9,7,7,2,100
3,30026,21,2,50,40,30,0,1,1,2,1,8,4,4,9,9,4,2,10
3,30027,21,2,0,100,0,0,2,1,1,2,5,9,5,10,1,8,2,100
3,30028,21,1,0,70,80,50,2,2,2,2,4,8,7,8,3,6,2,5
4,40001,25,2,50,50,50,50,2,1,1,1,7,7,6,8,2,2,1,50
4,40002,23,2,10,55,45,40,2,1,1,1,7,3,7,5,8,6,2,45
4,40003,27,2,30,60,55,10,2,1,2,2,9,10,7,9,7,5,1,55
4,40004,21,2,50,60,50,50,2,1,2,2,7,9,8,9,2,2,0,15
4,40005,24,2,50,70,30,20,2,1,1,2,8,9,3,7,3,5,2,60
4,40006,23,1,0,30,0,10,2,1,1,2,3,6,1,8,9,1,0,10
4,40007,27,2,30,30,30,30,2,2,1,2,4,10,3,10,2,1,0,50
4,40008,22,1,30,20,15,5,2,1,1,1,7,6,6,6,8,4,1,35
4,40009,23,2,10,40,10,4,2,1,1,2,7,7,2,8,2,4,2,40
